V1,Control.M.6-alphaestradiol.M.6_logFC,Control.M.6-alphaestradiol.M.6_logCPM,Control.M.6-alphaestradiol.M.6_LR,Control.M.6-alphaestradiol.M.6_PValue,Control.M.6-alphaestradiol.M.6_FDR
Gm15793,-2.83836811466947,0.394695818822051,13.285627010871,0.000267448569994,0.0463403198442815
Gm13339,-2.13199640260426,3.97659806934565,6.55286468721732,0.0104715428407716,0.437889825668382
Mup-ps15,5.3846172671994,0.597184704277625,16.9291409158567,3.88013290809703e-05,0.0126587356467019
Gm14049,2.24053243405755,-1.38951855851694,3.96301804212909,0.0465102441447006,0.814217954310115
5830444B04Rik,-3.95181122060408,-2.17694242088128,3.96831214054131,0.0463642245829648,0.813587809202278
4930412C18Rik,2.93842814659022,0.632739525271453,6.60908706612425,0.0101459663664853,0.432515782225693
Cd63-ps,-2.23080281438198,0.500384982970104,16.478155492073,4.92138401520512e-05,0.0148440084654847
Gm15564,1.5371370610478,6.65846724583443,14.7069285578654,0.0001255840407485,0.0264156115184946
Xist,1.76387024450326,6.85204035650476,9.68016974375317,0.0018626742060294,0.155923943979606
Nat8f7,-2.54071603416049,1.92403992797498,8.79488745137336,0.003020758799486,0.217323667702801
Mup-ps16,4.5320673397411,0.497866754470689,12.7691769106873,0.0003523778567384,0.0546904118235016
Ugt1a7c,-2.99312937782819,-0.725294697871805,17.2933889176959,3.20299279866742e-05,0.0110613417286601
Sult3a2,3.62204418046913,3.6093550622776,4.97523461081531,0.0257127161563502,0.641313057865757
BC035947,-5.17201836756807,-1.95932490530713,13.0793067672872,0.0002985759338564,0.0492065451405043
Gm17300,2.26302074323938,-1.12062421645087,12.2968240000447,0.0004537297298394,0.0659135555448323
Cyp2c69,-1.91058994250945,6.56924348199842,7.79266119258844,0.0052458871516471,0.307182241781065
