V1,SnellDwarfMiceControl.M-SnellDwarfMice.M_logFC,SnellDwarfMiceControl.M-SnellDwarfMice.M_logCPM,SnellDwarfMiceControl.M-SnellDwarfMice.M_LR,SnellDwarfMiceControl.M-SnellDwarfMice.M_PValue,SnellDwarfMiceControl.M-SnellDwarfMice.M_FDR
Tctn3,2.04295957220955,-0.612715933037117,15.8066013283688,7.01573059473557e-05,0.0009536859633285
Dntt,9.02722562093459,1.2917721769298,70.4615591255623,4.69323138532742e-17,6.4677583556762205e-15
Gsto2,-1.71693261262234,-1.37084066785471,4.69313607083225,0.0302833281884655,0.114419589794566
Dclre1a,-1.86572402309273,4.20127633620499,38.961742464285,4.3219279329020803e-10,2.42422245387272e-08
Bhlhe22,-4.64612394161134,-1.45000717337686,35.8030411406306,2.18306864577073e-09,1.00572148044066e-07
Ankrd2,-3.72066522142074,-0.978120113471695,8.96149577517306,0.0027572905263376,0.0194691017464814
Cnnm1,-3.48464560107003,-0.311029586011077,30.8450638762129,2.79472079469676e-08,9.90607685676772e-07
Scd3,1.92896781676668,1.82652436620322,6.16284741709828,0.0130461031660524,0.0629695064047445
Scd2,-4.91841192061108,3.92320179449563,79.024298443789,6.13507029215976e-19,1.07774982077435e-16
Pitx3,4.72436281229228,0.830074813068952,13.1127836322849,0.0002932875786933,0.0032003380429975
Fgd1,-2.71558989521269,-0.595826422559129,22.3220970881699,2.30538490735743e-06,5.07629244201322e-05
Alas2,2.58055299734876,6.21566339735296,49.9369473293151,1.58766723077089e-12,1.17502075699553e-10
Cd63,-2.0288674380878,2.15201539913705,14.4396811588617,0.0001447205859092,0.0017727994531381
Aatk,1.66479352484783,2.86067560255878,13.2118218983958,0.0002781888177621,0.0030691003731849
Hsd17b6,-1.72148055230195,8.06332045372562,30.0468120060073,4.21741301713086e-08,1.43751736656405e-06
Cox8b,-4.89191124504374,-0.523424931086004,5.73460352454627,0.0166338227353775,0.07521210633491
Nptx1,-4.16577665293259,-0.091784431408457,21.8553334612458,2.93998284717696e-06,6.26003104737802e-05
Dach2,9.15103022925774,-0.538439254657311,17.3845967215862,3.05290063127304e-05,0.0004798787560622
Gm7628,-2.24485286713813,-0.387927932906338,15.8856040612448,6.72886028408384e-05,0.0009204834052776
Arhgef9,-1.76940361786402,1.41574585684854,15.5013098334222,8.24481025193376e-05,0.0010917794557927
Nrp1,2.14589040761216,5.60712170610906,54.2351666207067,1.77874831396154e-13,1.48874714905702e-11
Tmeff2,4.91854477796941,-2.60185159773829,10.513288637281,0.0011851914173118,0.0100405246407772
